Set name,Number of features,Class balancing,Best parameters,Training accuracy,Test accuracy,Classification report
all,100,class_weights,"{'num_layers': 1, 'optimizer': 'SGD', 'dense_dropout_0': 0.2, 'dense_units_0': 384, 'dense_dropout_1': 0.4, 'dense_units_1': 128, 'dense_dropout_2': 0.4, 'dense_units_2': 128, 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 4, 'tuner/round': 0}",0.7755101919174194,0.7755102040816326,"
              precision    recall  f1-score   support

       False       0.78      1.00      0.87       114
        True       1.00      0.00      0.00        33

    accuracy                           0.78       147
   macro avg       0.89      0.50      0.44       147
weighted avg       0.83      0.78      0.68       147
"
all,100,oversampling,"{'num_layers': 2, 'optimizer': 'SGD', 'dense_dropout_0': 0.4, 'dense_units_0': 128, 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 4, 'tuner/round': 0, 'dense_dropout_1': 0.2, 'dense_units_1': 128}",0.6915204524993896,0.7192982456140351,"
              precision    recall  f1-score   support

       False       0.66      0.92      0.77       114
        True       0.87      0.52      0.65       114

    accuracy                           0.72       228
   macro avg       0.76      0.72      0.71       228
weighted avg       0.76      0.72      0.71       228
"
all,1000,class_weights,"{'num_layers': 1, 'optimizer': 'RMSprop', 'dense_dropout_0': 0.2, 'dense_units_0': 512, 'dense_dropout_1': 0.2, 'dense_units_1': 256, 'dense_dropout_2': 0.6, 'dense_units_2': 384, 'tuner/epochs': 34, 'tuner/initial_epoch': 12, 'tuner/bracket': 4, 'tuner/round': 3, 'tuner/trial_id': '0133'}",0.9501133561134338,0.8435374149659864,"
              precision    recall  f1-score   support

       False       0.88      0.92      0.90       114
        True       0.68      0.58      0.62        33

    accuracy                           0.84       147
   macro avg       0.78      0.75      0.76       147
weighted avg       0.84      0.84      0.84       147
"
all,1000,oversampling,"{'num_layers': 2, 'optimizer': 'RMSprop', 'dense_dropout_0': 0.2, 'dense_units_0': 384, 'dense_dropout_1': 0.2, 'dense_units_1': 256, 'dense_dropout_2': 0.6, 'dense_units_2': 128, 'tuner/epochs': 100, 'tuner/initial_epoch': 34, 'tuner/bracket': 4, 'tuner/round': 4, 'tuner/trial_id': '0143'}",0.932748556137085,0.8903508771929824,"
              precision    recall  f1-score   support

       False       0.89      0.89      0.89       114
        True       0.89      0.89      0.89       114

    accuracy                           0.89       228
   macro avg       0.89      0.89      0.89       228
weighted avg       0.89      0.89      0.89       228
"
all,10000,class_weights,"{'num_layers': 1, 'optimizer': 'adam', 'dense_dropout_0': 0.2, 'dense_units_0': 384, 'dense_dropout_1': 0.2, 'dense_units_1': 256, 'dense_dropout_2': 0.2, 'dense_units_2': 384, 'tuner/epochs': 12, 'tuner/initial_epoch': 4, 'tuner/bracket': 4, 'tuner/round': 2, 'tuner/trial_id': '0100'}",0.9682539701461792,0.8095238095238095,"
              precision    recall  f1-score   support

       False       0.86      0.90      0.88       114
        True       0.59      0.48      0.53        33

    accuracy                           0.81       147
   macro avg       0.73      0.69      0.71       147
weighted avg       0.80      0.81      0.80       147
"
all,10000,oversampling,"{'num_layers': 1, 'optimizer': 'adam', 'dense_dropout_0': 0.2, 'dense_units_0': 256, 'dense_dropout_1': 0.2, 'dense_units_1': 384, 'dense_dropout_2': 0.2, 'dense_units_2': 128, 'tuner/epochs': 34, 'tuner/initial_epoch': 12, 'tuner/bracket': 4, 'tuner/round': 3, 'tuner/trial_id': '0137'}",0.969298243522644,0.9166666666666666,"
              precision    recall  f1-score   support

       False       0.95      0.88      0.91       114
        True       0.89      0.96      0.92       114

    accuracy                           0.92       228
   macro avg       0.92      0.92      0.92       228
weighted avg       0.92      0.92      0.92       228
"
identifier,100,class_weights,"{'num_layers': 1, 'optimizer': 'SGD', 'dense_dropout_0': 0.2, 'dense_units_0': 256, 'dense_dropout_1': 0.4, 'dense_units_1': 256, 'dense_dropout_2': 0.4, 'dense_units_2': 384, 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 4, 'tuner/round': 0}",0.7777777910232544,0.7755102040816326,"
              precision    recall  f1-score   support

       False       0.78      1.00      0.87       114
        True       1.00      0.00      0.00        33

    accuracy                           0.78       147
   macro avg       0.89      0.50      0.44       147
weighted avg       0.83      0.78      0.68       147
"
identifier,100,oversampling,"{'num_layers': 3, 'optimizer': 'RMSprop', 'dense_dropout_0': 0.6, 'dense_units_0': 256, 'tuner/epochs': 2, 'tuner/initial_epoch': 0, 'tuner/bracket': 4, 'tuner/round': 0, 'dense_dropout_1': 0.2, 'dense_units_1': 128, 'dense_dropout_2': 0.2, 'dense_units_2': 128}",0.6915204524993896,0.7192982456140351,"
              precision    recall  f1-score   support

       False       0.66      0.92      0.77       114
        True       0.87      0.52      0.65       114

    accuracy                           0.72       228
   macro avg       0.76      0.72      0.71       228
weighted avg       0.76      0.72      0.71       228
"
identifier,1000,class_weights,"{'num_layers': 1, 'optimizer': 'RMSprop', 'dense_dropout_0': 0.2, 'dense_units_0': 128, 'dense_dropout_1': 0.2, 'dense_units_1': 256, 'dense_dropout_2': 0.2, 'dense_units_2': 384, 'tuner/epochs': 12, 'tuner/initial_epoch': 4, 'tuner/bracket': 3, 'tuner/round': 1, 'tuner/trial_id': '0171'}",0.9160997867584229,0.8503401360544217,"
              precision    recall  f1-score   support

       False       0.87      0.95      0.91       114
        True       0.74      0.52      0.61        33

    accuracy                           0.85       147
   macro avg       0.81      0.73      0.76       147
weighted avg       0.84      0.85      0.84       147
"
identifier,1000,oversampling,"{'num_layers': 2, 'optimizer': 'RMSprop', 'dense_dropout_0': 0.4, 'dense_units_0': 256, 'dense_dropout_1': 0.2, 'dense_units_1': 256, 'dense_dropout_2': 0.2, 'dense_units_2': 512, 'tuner/epochs': 100, 'tuner/initial_epoch': 34, 'tuner/bracket': 2, 'tuner/round': 2, 'tuner/trial_id': '0229'}",0.9517543911933899,0.8771929824561403,"
              precision    recall  f1-score   support

       False       0.91      0.83      0.87       114
        True       0.85      0.92      0.88       114

    accuracy                           0.88       228
   macro avg       0.88      0.88      0.88       228
weighted avg       0.88      0.88      0.88       228
"
